-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                        cudaMemcpyAsync         0.17%     281.689us         0.17%     281.689us      10.060us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            28                                                                                []            --  
                                  cudaStreamSynchronize         8.42%      13.729ms         8.42%      13.729ms     508.477us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            27                                                                                []            --  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       5.152us         0.01%       5.152us       0.343us           0 b           0 b           0 b           0 b            15                                                                                []            --  
                                               aten::to         0.00%       1.140us         0.01%      18.057us      18.057us       0.000us         0.00%       1.344us       1.344us           0 b           0 b         512 b           0 b             1                                                         [[1, 48], [], [], [], []]            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.344us         0.00%       1.344us       1.344us           0 b           0 b           0 b           0 b             1                                                                                []            --  
                                               aten::to         0.00%       0.100us         0.00%       0.100us       0.100us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1                                                     [[1, 13], [], [], [], [], []]            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     847.374us         1.25%     847.374us       1.035us           0 b           0 b           0 b           0 b           819                                                                                []            --  
                                              aten::sub         0.00%       7.327us         0.01%      10.387us      10.387us       1.088us         0.00%       1.088us       1.088us           0 b           0 b         512 b         512 b             1                                                               [[1, 13], [13], []]            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.844us         0.04%      23.844us       1.135us           0 b           0 b           0 b           0 b            21                                                                                []            --  
                                              aten::div         0.00%       6.616us         0.01%      10.335us      10.335us       1.216us         0.00%       1.216us       1.216us           0 b           0 b         512 b         512 b             1                                                                   [[1, 13], [13]]            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.216us         0.00%       1.216us       1.216us           0 b           0 b           0 b           0 b             1                                                                                []            --  
                                               aten::to         0.00%       0.443us         0.00%       0.443us       0.148us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3                                            [[1, 3, 224, 224], [], [], [], [], []]            --  
                                          aten::permute         0.01%      10.169us         0.01%      13.802us       4.601us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3                                                            [[1, 3, 224, 224], []]            --  
                                       aten::as_strided         0.00%       3.633us         0.00%       3.633us       1.211us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3                                                    [[1, 3, 224, 224], [], [], []]            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      25.763us         0.04%      25.763us       1.031us           0 b           0 b           0 b           0 b            25                                                                                []            --  
                                              aten::sub         0.01%      14.384us         0.01%      22.431us       7.477us       3.360us         0.00%       3.360us       1.120us           0 b           0 b       1.72 Mb       1.72 Mb             3                                                        [[1, 224, 224, 3], [], []]            --  
                                          aten::permute         0.00%       4.856us         0.00%       6.053us       2.018us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3                                                            [[1, 224, 224, 3], []]            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
Self CPU time total: 163.138ms
Self CUDA time total: 67.665ms
